# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/ne/nwis/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-03-11 19:19:26 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06768000 Platte River near Overton, Nebr.
# -----------------------------------------------------------------------------------
#
# Data provided for site 06768000
#    DD parameter statistic   Description
#    02   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	02_00060_00003	02_00060_00003_cd
USGS	06768000	2013-02-09	1230	P
USGS	06768000	2013-02-10	1210	P
USGS	06768000	2013-02-11	1160	P
USGS	06768000	2013-02-12	1190	P
USGS	06768000	2013-02-13	1200	P
USGS	06768000	2013-02-14	1190	P
USGS	06768000	2013-02-15	915	P
USGS	06768000	2013-02-16	1260	P
USGS	06768000	2013-02-17	891	P
USGS	06768000	2013-02-18	1200	P
USGS	06768000	2013-02-19	1150	P
USGS	06768000	2013-02-20	907	P
USGS	06768000	2013-02-21	1050	P
USGS	06768000	2013-02-22	604	P
USGS	06768000	2013-02-23	619	P
USGS	06768000	2013-02-24	984	P
USGS	06768000	2013-02-25	1030	P
USGS	06768000	2013-02-26	1320	P
USGS	06768000	2013-02-27	1190	P
USGS	06768000	2013-02-28	1320	P
USGS	06768000	2013-03-01	1170	P
USGS	06768000	2013-03-02	1140	P
USGS	06768000	2013-03-03	1240	P
USGS	06768000	2013-03-04	1140	P
USGS	06768000	2013-03-05	1290	P
USGS	06768000	2013-03-06	1120	P
USGS	06768000	2013-03-07	1130	P
USGS	06768000	2013-03-08	1140	P
USGS	06768000	2013-03-09	868	P
USGS	06768000	2013-03-10	657	P
USGS	06768000	2013-03-11	1050	P
USGS	06768000	2013-03-12	1070	P
USGS	06768000	2013-03-13	1210	P
USGS	06768000	2013-03-14	827	P
USGS	06768000	2013-03-15	1260	P
USGS	06768000	2013-03-16	919	P
USGS	06768000	2013-03-17	1120	P
USGS	06768000	2013-03-18	445	P
USGS	06768000	2013-03-19	439	P
USGS	06768000	2013-03-20	414	P
USGS	06768000	2013-03-21	400	P
USGS	06768000	2013-03-22	406	P
USGS	06768000	2013-03-23	524	P
USGS	06768000	2013-03-24	1140	P
USGS	06768000	2013-03-25	1700	P:e
USGS	06768000	2013-03-26	2020	P:e
USGS	06768000	2013-03-27	442	P
USGS	06768000	2013-03-28	331	P
USGS	06768000	2013-03-29	363	P
USGS	06768000	2013-03-30	414	P
USGS	06768000	2013-03-31	394	P
USGS	06768000	2013-04-01	555	P
USGS	06768000	2013-04-02	1200	P
USGS	06768000	2013-04-03	1840	P
USGS	06768000	2013-04-04	1880	P
USGS	06768000	2013-04-05	371	P
USGS	06768000	2013-04-06	492	P
USGS	06768000	2013-04-07	1210	P
USGS	06768000	2013-04-08	1900	P
USGS	06768000	2013-04-09	2330	P
USGS	06768000	2013-04-10	1250	P
USGS	06768000	2013-04-11	1770	P
USGS	06768000	2013-04-12	3490	P
USGS	06768000	2013-04-13	4070	P
USGS	06768000	2013-04-14	3890	P
USGS	06768000	2013-04-15	2440	P
USGS	06768000	2013-04-16	1870	P
USGS	06768000	2013-04-17	1790	P
USGS	06768000	2013-04-18	2240	P
USGS	06768000	2013-04-19	2460	P
USGS	06768000	2013-04-20	2400	P
USGS	06768000	2013-04-21	2460	P
USGS	06768000	2013-04-22	2520	P
USGS	06768000	2013-04-23	2480	P
USGS	06768000	2013-04-24	2460	P
USGS	06768000	2013-04-25	747	P
USGS	06768000	2013-04-26	572	P
USGS	06768000	2013-04-27	1390	P
USGS	06768000	2013-04-28	2270	P
USGS	06768000	2013-04-29	2540	P
USGS	06768000	2013-04-30	655	P
USGS	06768000	2013-05-01	521	P
USGS	06768000	2013-05-02	1210	P
USGS	06768000	2013-05-03	684	P
USGS	06768000	2013-05-04	1080	P
USGS	06768000	2013-05-05	594	P
USGS	06768000	2013-05-06	834	P
USGS	06768000	2013-05-07	622	P
USGS	06768000	2013-05-08	536	P
USGS	06768000	2013-05-09	619	P
USGS	06768000	2013-05-10	542	P
USGS	06768000	2013-05-11	526	P
USGS	06768000	2013-05-12	581	P
USGS	06768000	2013-05-13	487	P
USGS	06768000	2013-05-14	484	P
USGS	06768000	2013-05-15	486	P
USGS	06768000	2013-05-16	363	P
USGS	06768000	2013-05-17	293	P
USGS	06768000	2013-05-18	189	P
USGS	06768000	2013-05-19	190	P
USGS	06768000	2013-05-20	175	P
USGS	06768000	2013-05-21	149	P
USGS	06768000	2013-05-22	141	P
USGS	06768000	2013-05-23	138	P
USGS	06768000	2013-05-24	138	P
USGS	06768000	2013-05-25	802	P
USGS	06768000	2013-05-26	714	P
USGS	06768000	2013-05-27	255	P
USGS	06768000	2013-05-28	814	P
USGS	06768000	2013-05-29	993	P
USGS	06768000	2013-05-30	683	P
USGS	06768000	2013-05-31	638	P
USGS	06768000	2013-06-01	1010	P
USGS	06768000	2013-06-02	664	P
USGS	06768000	2013-06-03	562	P
USGS	06768000	2013-06-04	866	P
USGS	06768000	2013-06-05	897	P
USGS	06768000	2013-06-06	847	P
USGS	06768000	2013-06-07	196	P
USGS	06768000	2013-06-08	125	P
USGS	06768000	2013-06-09	98	P
USGS	06768000	2013-06-10	85	P
USGS	06768000	2013-06-11	85	P
USGS	06768000	2013-06-12	87	P
USGS	06768000	2013-06-13	173	P
USGS	06768000	2013-06-14	184	P
USGS	06768000	2013-06-15	203	P
USGS	06768000	2013-06-16	199	P
USGS	06768000	2013-06-17	192	P
USGS	06768000	2013-06-18	238	P
USGS	06768000	2013-06-19	243	P
USGS	06768000	2013-06-20	253	P
USGS	06768000	2013-06-21	198	P
USGS	06768000	2013-06-22	185	P
USGS	06768000	2013-06-23	182	P
USGS	06768000	2013-06-24	189	P
USGS	06768000	2013-06-25	202	P
USGS	06768000	2013-06-26	182	P
USGS	06768000	2013-06-27	172	P
USGS	06768000	2013-06-28	167	P
USGS	06768000	2013-06-29	184	P
USGS	06768000	2013-06-30	215	P
USGS	06768000	2013-07-01	214	P
USGS	06768000	2013-07-02	151	P
USGS	06768000	2013-07-03	128	P
USGS	06768000	2013-07-04	101	P
USGS	06768000	2013-07-05	94	P
USGS	06768000	2013-07-06	94	P
USGS	06768000	2013-07-07	96	P
USGS	06768000	2013-07-08	117	P
USGS	06768000	2013-07-09	134	P
USGS	06768000	2013-07-10	340	P
USGS	06768000	2013-07-11	811	P
USGS	06768000	2013-07-12	256	P
USGS	06768000	2013-07-13	132	P
USGS	06768000	2013-07-14	113	P
USGS	06768000	2013-07-15	112	P
USGS	06768000	2013-07-16	115	P
USGS	06768000	2013-07-17	109	P
USGS	06768000	2013-07-18	102	P
USGS	06768000	2013-07-19	96	P
USGS	06768000	2013-07-20	91	P
USGS	06768000	2013-07-21	93	P
USGS	06768000	2013-07-22	105	P
USGS	06768000	2013-07-23	109	P
USGS	06768000	2013-07-24	105	P
USGS	06768000	2013-07-25	114	P
USGS	06768000	2013-07-26	117	P
USGS	06768000	2013-07-27	121	P
USGS	06768000	2013-07-28	147	P
USGS	06768000	2013-07-29	189	P
USGS	06768000	2013-07-30	200	P
USGS	06768000	2013-07-31	204	P
USGS	06768000	2013-08-01	207	P
USGS	06768000	2013-08-02	1170	P
USGS	06768000	2013-08-03	1990	P
USGS	06768000	2013-08-04	1480	P
USGS	06768000	2013-08-05	1180	P
USGS	06768000	2013-08-06	375	P
USGS	06768000	2013-08-07	290	P
USGS	06768000	2013-08-08	264	P
USGS	06768000	2013-08-09	228	P
USGS	06768000	2013-08-10	186	P
USGS	06768000	2013-08-11	136	P
USGS	06768000	2013-08-12	129	P
USGS	06768000	2013-08-13	146	P
USGS	06768000	2013-08-14	159	P
USGS	06768000	2013-08-15	158	P
USGS	06768000	2013-08-16	143	P
USGS	06768000	2013-08-17	132	P
USGS	06768000	2013-08-18	130	P
USGS	06768000	2013-08-19	135	P
USGS	06768000	2013-08-20	143	P
USGS	06768000	2013-08-21	135	P
USGS	06768000	2013-08-22	113	P
USGS	06768000	2013-08-23	107	P
USGS	06768000	2013-08-24	124	P
USGS	06768000	2013-08-25	142	P
USGS	06768000	2013-08-26	144	P
USGS	06768000	2013-08-27	142	P
USGS	06768000	2013-08-28	133	P
USGS	06768000	2013-08-29	126	P
USGS	06768000	2013-08-30	118	P
USGS	06768000	2013-08-31	118	P
USGS	06768000	2013-09-01	118	P
USGS	06768000	2013-09-02	118	P
USGS	06768000	2013-09-03	114	P
USGS	06768000	2013-09-04	112	P
USGS	06768000	2013-09-05	109	P
USGS	06768000	2013-09-06	106	P
USGS	06768000	2013-09-07	125	P
USGS	06768000	2013-09-08	163	P
USGS	06768000	2013-09-09	184	P
USGS	06768000	2013-09-10	170	P
USGS	06768000	2013-09-11	244	P
USGS	06768000	2013-09-12	232	P
USGS	06768000	2013-09-13	204	P
USGS	06768000	2013-09-14	199	P
USGS	06768000	2013-09-15	198	P
USGS	06768000	2013-09-16	189	P
USGS	06768000	2013-09-17	187	P
USGS	06768000	2013-09-18	186	P
USGS	06768000	2013-09-19	237	P
USGS	06768000	2013-09-20	818	P
USGS	06768000	2013-09-21	718	P
USGS	06768000	2013-09-22	1090	P
USGS	06768000	2013-09-23	1880	P
USGS	06768000	2013-09-24	4650	P
USGS	06768000	2013-09-25	11500	P
USGS	06768000	2013-09-26	12000	P
USGS	06768000	2013-09-27	11000	P
USGS	06768000	2013-09-28	10200	P
USGS	06768000	2013-09-29	9700	P
USGS	06768000	2013-09-30	9080	P
USGS	06768000	2013-10-01	7810	P
USGS	06768000	2013-10-02	6500	P
USGS	06768000	2013-10-03	5850	P
USGS	06768000	2013-10-04	5100	P
USGS	06768000	2013-10-05	4340	P
USGS	06768000	2013-10-06	3800	P
USGS	06768000	2013-10-07	3570	P
USGS	06768000	2013-10-08	3560	P
USGS	06768000	2013-10-09	3420	P
USGS	06768000	2013-10-10	3300	P
USGS	06768000	2013-10-11	2650	P
USGS	06768000	2013-10-12	3120	P
USGS	06768000	2013-10-13	2990	P
USGS	06768000	2013-10-14	2560	P
USGS	06768000	2013-10-15	3060	P
USGS	06768000	2013-10-16	2920	P
USGS	06768000	2013-10-17	2830	P
USGS	06768000	2013-10-18	2720	P
USGS	06768000	2013-10-19	2640	P
USGS	06768000	2013-10-20	2630	P
USGS	06768000	2013-10-21	1910	P
USGS	06768000	2013-10-22	1800	P
USGS	06768000	2013-10-23	1790	P
USGS	06768000	2013-10-24	1830	P
USGS	06768000	2013-10-25	1790	P
USGS	06768000	2013-10-26	1740	P
USGS	06768000	2013-10-27	1700	P
USGS	06768000	2013-10-28	1670	P
USGS	06768000	2013-10-29	598	P
USGS	06768000	2013-10-30	368	P
USGS	06768000	2013-10-31	385	P
USGS	06768000	2013-11-01	384	P
USGS	06768000	2013-11-02	590	P
USGS	06768000	2013-11-03	1320	P
USGS	06768000	2013-11-04	2040	P
USGS	06768000	2013-11-05	2370	P
USGS	06768000	2013-11-06	1950	P
USGS	06768000	2013-11-07	455	P
USGS	06768000	2013-11-08	388	P
USGS	06768000	2013-11-09	428	P
USGS	06768000	2013-11-10	426	P
USGS	06768000	2013-11-11	863	P
USGS	06768000	2013-11-12	2260	P
USGS	06768000	2013-11-13	1670	P
USGS	06768000	2013-11-14	1330	P
USGS	06768000	2013-11-15	862	P
USGS	06768000	2013-11-16	1020	P
USGS	06768000	2013-11-17	1300	P
USGS	06768000	2013-11-18	737	P
USGS	06768000	2013-11-19	1190	P
USGS	06768000	2013-11-20	716	P
USGS	06768000	2013-11-21	997	P
USGS	06768000	2013-11-22	1160	P
USGS	06768000	2013-11-23	952	P
USGS	06768000	2013-11-24	798	P
USGS	06768000	2013-11-25	1640	P
USGS	06768000	2013-11-26	1370	P
USGS	06768000	2013-11-27	896	P
USGS	06768000	2013-11-28	665	P
USGS	06768000	2013-11-29	989	P
USGS	06768000	2013-11-30	1410	P
USGS	06768000	2013-12-01	1080	P
USGS	06768000	2013-12-02	1070	P
USGS	06768000	2013-12-03	1070	P
USGS	06768000	2013-12-04	913	P
USGS	06768000	2013-12-05	814	P
USGS	06768000	2013-12-06	767	P
USGS	06768000	2013-12-07	Ice	P
USGS	06768000	2013-12-08	Ice	P
USGS	06768000	2013-12-09	Ice	P
USGS	06768000	2013-12-10	Ice	P
USGS	06768000	2013-12-11	Ice	P
USGS	06768000	2013-12-12	Ice	P
USGS	06768000	2013-12-13	Ice	P
USGS	06768000	2013-12-14	Ice	P
USGS	06768000	2013-12-15	Ice	P
USGS	06768000	2013-12-16	Ice	P
USGS	06768000	2013-12-17	Ice	P
USGS	06768000	2013-12-18	Ice	P
USGS	06768000	2013-12-19	Ice	P
USGS	06768000	2013-12-20	Ice	P
USGS	06768000	2013-12-21	Ice	P
USGS	06768000	2013-12-22	Ice	P
