# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/ne/nwis/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-03-11 17:58:22 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06775500 Middle Loup River at Dunning, Nebr.
# -----------------------------------------------------------------------------------
#
# Data provided for site 06775500
#    DD parameter statistic   Description
#    08   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	08_00060_00003	08_00060_00003_cd
USGS	06775500	2013-04-12	489	A
USGS	06775500	2013-04-13	542	A
USGS	06775500	2013-04-14	568	A
USGS	06775500	2013-04-15	521	A
USGS	06775500	2013-04-16	525	A
USGS	06775500	2013-04-17	543	A
USGS	06775500	2013-04-18	524	A
USGS	06775500	2013-04-19	500	A
USGS	06775500	2013-04-20	507	A
USGS	06775500	2013-04-21	530	A
USGS	06775500	2013-04-22	588	A
USGS	06775500	2013-04-23	536	A
USGS	06775500	2013-04-24	536	A
USGS	06775500	2013-04-25	546	A
USGS	06775500	2013-04-26	555	A
USGS	06775500	2013-04-27	555	A
USGS	06775500	2013-04-28	557	A
USGS	06775500	2013-04-29	540	A
USGS	06775500	2013-04-30	536	A
USGS	06775500	2013-05-01	555	A
USGS	06775500	2013-05-02	525	A
USGS	06775500	2013-05-03	519	A
USGS	06775500	2013-05-04	529	A
USGS	06775500	2013-05-05	517	A
USGS	06775500	2013-05-06	527	A
USGS	06775500	2013-05-07	543	A
USGS	06775500	2013-05-08	542	A
USGS	06775500	2013-05-09	528	A
USGS	06775500	2013-05-10	526	A
USGS	06775500	2013-05-11	534	A
USGS	06775500	2013-05-12	526	A
USGS	06775500	2013-05-13	539	A
USGS	06775500	2013-05-14	545	A
USGS	06775500	2013-05-15	533	A
USGS	06775500	2013-05-16	542	A
USGS	06775500	2013-05-17	537	A
USGS	06775500	2013-05-18	551	A
USGS	06775500	2013-05-19	602	A
USGS	06775500	2013-05-20	633	A
USGS	06775500	2013-05-21	588	A
USGS	06775500	2013-05-22	558	A
USGS	06775500	2013-05-23	566	A
USGS	06775500	2013-05-24	588	A
USGS	06775500	2013-05-25	587	A
USGS	06775500	2013-05-26	597	A
USGS	06775500	2013-05-27	617	A
USGS	06775500	2013-05-28	611	A
USGS	06775500	2013-05-29	652	A
USGS	06775500	2013-05-30	596	A
USGS	06775500	2013-05-31	522	A
USGS	06775500	2013-06-01	488	A
USGS	06775500	2013-06-02	480	A
USGS	06775500	2013-06-03	477	A
USGS	06775500	2013-06-04	479	A
USGS	06775500	2013-06-05	469	A
USGS	06775500	2013-06-06	458	A
USGS	06775500	2013-06-07	458	A
USGS	06775500	2013-06-08	482	A
USGS	06775500	2013-06-09	489	A
USGS	06775500	2013-06-10	475	A
USGS	06775500	2013-06-11	475	A
USGS	06775500	2013-06-12	477	A
USGS	06775500	2013-06-13	467	A
USGS	06775500	2013-06-14	467	A
USGS	06775500	2013-06-15	477	A
USGS	06775500	2013-06-16	530	A
USGS	06775500	2013-06-17	510	A
USGS	06775500	2013-06-18	498	A
USGS	06775500	2013-06-19	487	A
USGS	06775500	2013-06-20	486	A
USGS	06775500	2013-06-21	507	A
USGS	06775500	2013-06-22	554	A
USGS	06775500	2013-06-23	555	A
USGS	06775500	2013-06-24	585	A
USGS	06775500	2013-06-25	542	A
USGS	06775500	2013-06-26	511	A
USGS	06775500	2013-06-27	499	A
USGS	06775500	2013-06-28	486	A
USGS	06775500	2013-06-29	476	A
USGS	06775500	2013-06-30	468	A
USGS	06775500	2013-07-01	463	A
USGS	06775500	2013-07-02	461	A
USGS	06775500	2013-07-03	461	A
USGS	06775500	2013-07-04	459	A
USGS	06775500	2013-07-05	461	A
USGS	06775500	2013-07-06	466	A
USGS	06775500	2013-07-07	459	A
USGS	06775500	2013-07-08	457	A
USGS	06775500	2013-07-09	464	A
USGS	06775500	2013-07-10	463	A
USGS	06775500	2013-07-11	463	A
USGS	06775500	2013-07-12	459	A
USGS	06775500	2013-07-13	461	A
USGS	06775500	2013-07-14	469	A
USGS	06775500	2013-07-15	476	A
USGS	06775500	2013-07-16	479	A
USGS	06775500	2013-07-17	460	A
USGS	06775500	2013-07-18	446	A
USGS	06775500	2013-07-19	446	A
USGS	06775500	2013-07-20	453	A
USGS	06775500	2013-07-21	511	A
USGS	06775500	2013-07-22	527	A
USGS	06775500	2013-07-23	528	A
USGS	06775500	2013-07-24	510	A
USGS	06775500	2013-07-25	494	A
USGS	06775500	2013-07-26	485	A
USGS	06775500	2013-07-27	482	A
USGS	06775500	2013-07-28	474	A
USGS	06775500	2013-07-29	473	A
USGS	06775500	2013-07-30	491	A
USGS	06775500	2013-07-31	528	A
USGS	06775500	2013-08-01	546	A
USGS	06775500	2013-08-02	510	A
USGS	06775500	2013-08-03	580	A
USGS	06775500	2013-08-04	634	A
USGS	06775500	2013-08-05	556	A
USGS	06775500	2013-08-06	524	A
USGS	06775500	2013-08-07	497	A
USGS	06775500	2013-08-08	489	A
USGS	06775500	2013-08-09	494	A
USGS	06775500	2013-08-10	516	A
USGS	06775500	2013-08-11	486	A
USGS	06775500	2013-08-12	482	A
USGS	06775500	2013-08-13	687	A
USGS	06775500	2013-08-14	754	A
USGS	06775500	2013-08-15	596	A
USGS	06775500	2013-08-16	549	A
USGS	06775500	2013-08-17	518	A
USGS	06775500	2013-08-18	502	A
USGS	06775500	2013-08-19	493	A
USGS	06775500	2013-08-20	490	A
USGS	06775500	2013-08-21	488	A
USGS	06775500	2013-08-22	503	A
USGS	06775500	2013-08-23	487	A
USGS	06775500	2013-08-24	474	A
USGS	06775500	2013-08-25	464	A
USGS	06775500	2013-08-26	457	A
USGS	06775500	2013-08-27	456	A
USGS	06775500	2013-08-28	451	A
USGS	06775500	2013-08-29	456	A
USGS	06775500	2013-08-30	458	A
USGS	06775500	2013-08-31	503	A
USGS	06775500	2013-09-01	473	A
USGS	06775500	2013-09-02	464	A
USGS	06775500	2013-09-03	465	A
USGS	06775500	2013-09-04	461	A
USGS	06775500	2013-09-05	462	A
USGS	06775500	2013-09-06	458	A
USGS	06775500	2013-09-07	457	A
USGS	06775500	2013-09-08	457	A
USGS	06775500	2013-09-09	462	A
USGS	06775500	2013-09-10	468	A
USGS	06775500	2013-09-11	470	A
USGS	06775500	2013-09-12	464	A
USGS	06775500	2013-09-13	455	A
USGS	06775500	2013-09-14	453	A
USGS	06775500	2013-09-15	457	A
USGS	06775500	2013-09-16	453	A
USGS	06775500	2013-09-17	450	A
USGS	06775500	2013-09-18	459	A
USGS	06775500	2013-09-19	476	A
USGS	06775500	2013-09-20	466	A
USGS	06775500	2013-09-21	452	A
USGS	06775500	2013-09-22	451	A
USGS	06775500	2013-09-23	455	A
USGS	06775500	2013-09-24	456	A
USGS	06775500	2013-09-25	449	A
USGS	06775500	2013-09-26	450	A
USGS	06775500	2013-09-27	463	A
USGS	06775500	2013-09-28	491	A
USGS	06775500	2013-09-29	463	A
USGS	06775500	2013-09-30	452	A
USGS	06775500	2013-10-01	450	A
USGS	06775500	2013-10-02	453	A
USGS	06775500	2013-10-03	460	A
USGS	06775500	2013-10-04	476	A
USGS	06775500	2013-10-05	457	A
USGS	06775500	2013-10-06	415	A
USGS	06775500	2013-10-07	420	A
USGS	06775500	2013-10-08	435	A
USGS	06775500	2013-10-09	451	A
USGS	06775500	2013-10-10	457	A
USGS	06775500	2013-10-11	479	A
USGS	06775500	2013-10-12	451	A
USGS	06775500	2013-10-13	446	A
USGS	06775500	2013-10-14	531	A
USGS	06775500	2013-10-15	551	A
USGS	06775500	2013-10-16	505	A
USGS	06775500	2013-10-17	513	A
USGS	06775500	2013-10-18	501	A
USGS	06775500	2013-10-19	495	A
USGS	06775500	2013-10-20	508	A
USGS	06775500	2013-10-21	507	A
USGS	06775500	2013-10-22	515	A
USGS	06775500	2013-10-23	522	A
USGS	06775500	2013-10-24	505	A
USGS	06775500	2013-10-25	506	A
USGS	06775500	2013-10-26	513	A
USGS	06775500	2013-10-27	513	A
USGS	06775500	2013-10-28	528	A
USGS	06775500	2013-10-29	514	A
USGS	06775500	2013-10-30	489	A
USGS	06775500	2013-10-31	493	A
USGS	06775500	2013-11-01	511	A
USGS	06775500	2013-11-02	494	A
USGS	06775500	2013-11-03	505	A
USGS	06775500	2013-11-04	527	A
USGS	06775500	2013-11-05	535	A
USGS	06775500	2013-11-06	503	A
USGS	06775500	2013-11-07	505	A
USGS	06775500	2013-11-08	517	A
USGS	06775500	2013-11-09	506	A
USGS	06775500	2013-11-10	522	A
USGS	06775500	2013-11-11	520	A
USGS	06775500	2013-11-12	491	A
USGS	06775500	2013-11-13	484	A
USGS	06775500	2013-11-14	501	A
USGS	06775500	2013-11-15	511	A
USGS	06775500	2013-11-16	514	A
USGS	06775500	2013-11-17	512	A
USGS	06775500	2013-11-18	490	A
USGS	06775500	2013-11-19	508	A
USGS	06775500	2013-11-20	517	A
USGS	06775500	2013-11-21	500	A
USGS	06775500	2013-11-22	467	A
USGS	06775500	2013-11-23	434	A
USGS	06775500	2013-11-24	446	A
USGS	06775500	2013-11-25	460	A
USGS	06775500	2013-11-26	486	A
USGS	06775500	2013-11-27	467	A
USGS	06775500	2013-11-28	476	A
USGS	06775500	2013-11-29	475	A
USGS	06775500	2013-11-30	468	A
USGS	06775500	2013-12-01	496	A
USGS	06775500	2013-12-02	497	A
USGS	06775500	2013-12-03	508	A
USGS	06775500	2013-12-04	474	A
USGS	06775500	2013-12-05	340	A
USGS	06775500	2013-12-06	271	A:e
USGS	06775500	2013-12-07	269	A:e
USGS	06775500	2013-12-08	294	A:e
USGS	06775500	2013-12-09	356	A:e
USGS	06775500	2013-12-10	435	A:e
USGS	06775500	2013-12-11	463	A:e
USGS	06775500	2013-12-12	479	A:e
USGS	06775500	2013-12-13	521	A:e
USGS	06775500	2013-12-14	524	A:e
USGS	06775500	2013-12-15	497	A
USGS	06775500	2013-12-16	499	P
USGS	06775500	2013-12-17	491	P
USGS	06775500	2013-12-18	473	P
USGS	06775500	2013-12-19	476	P
USGS	06775500	2013-12-20	420	P
USGS	06775500	2013-12-21	417	P
USGS	06775500	2013-12-22	419	P
USGS	06775500	2013-12-23	384	P
USGS	06775500	2013-12-24	382	P
USGS	06775500	2013-12-25	400	P
USGS	06775500	2013-12-26	413	P
USGS	06775500	2013-12-27	414	P
USGS	06775500	2013-12-28	419	P
USGS	06775500	2013-12-29	380	P
USGS	06775500	2013-12-30	373	P
USGS	06775500	2013-12-31	397	P
